id_unico,id_producto,nombre,marca,color,precio_actual,precio_anterior,precio_minimo,precio_maximo,moneda,categoria,es_nuevo,en_descuento,promocion,venta_rapida,disponibilidad,proximamente,en_linea,tallas_disponibles,cantidad_tallas,stock_total_api,url_producto,url_imagen,fuente
ASOS_207394233,207394233,Reebok Classic Leather sneakers in khaki and white detail,Reebok,Khaki,85.0,,,,USD,,False,False,False,False,,,,,,,reebok/reebok-classic-leather-sneakers-in-khaki-and-white-detail/prd/207394233#colourWayId-207394234,images.asos-media.com/products/reebok-classic-leather-sneakers-in-khaki-and-white-detail/207394233-1-khaki,ASOS
ASOS_210958719,210958719,HUGO Red logo slides in white,Hugo Red,White,91.0,,,,USD,,False,False,False,False,,,,,,,hugo-red/hugo-red-logo-slides-in-white/prd/210958719#colourWayId-210958721,images.asos-media.com/products/hugo-red-logo-slides-in-white/210958719-1-white,ASOS
ASOS_210958783,210958783,HUGO Red logo slides in black,Hugo Red,Black,91.0,,,,USD,,False,False,False,False,,,,,,,hugo-red/hugo-red-logo-slides-in-black/prd/210958783#colourWayId-210958785,images.asos-media.com/products/hugo-red-logo-slides-in-black/210958783-1-black,ASOS
ASOS_210538935,210538935,SEQWL Soda slip on loafer style mules in taupe,SEQWL,Taupe,39.0,,,,USD,,False,False,False,False,,,,,,,seqwl/seqwl-soda-slip-on-loafer-style-mules-in-taupe/prd/210538935#colourWayId-210538936,images.asos-media.com/products/seqwl-soda-slip-on-loafer-style-mules-in-taupe/210538935-1-taupe,ASOS
ASOS_210442536,210442536,adidas Running Hyperboost Euphoria sneakers in black ombre,adidas performance,Multi,170.0,,,,USD,,False,False,False,False,,,,,,,adidas-performance/adidas-running-hyperboost-euphoria-sneakers-in-black-ombre/prd/210442536#colourWayId-210442543,images.asos-media.com/products/adidas-running-hyperboost-euphoria-sneakers-in-black-ombre/210442536-1-multi,ASOS
ASOS_210442778,210442778,adidas Running Hyperboost Euphoria sneakers in white and orange,adidas performance,Multi,170.0,,,,USD,,False,False,False,False,,,,,,,adidas-performance/adidas-running-hyperboost-euphoria-sneakers-in-white-and-orange/prd/210442778#colourWayId-210442796,images.asos-media.com/products/adidas-running-hyperboost-euphoria-sneakers-in-white-and-orange/210442778-1-multi,ASOS
ASOS_210390287,210390287,ASOS DESIGN penny loafers with ruched apron in brown and cream leather,ASOS DESIGN,Brown & cream,89.99,,,,USD,,False,False,False,True,,,,,,,asos-design/asos-design-penny-loafers-with-ruched-apron-in-brown-and-cream-leather/prd/210390287#colourWayId-210390289,images.asos-media.com/products/asos-design-penny-loafers-with-ruched-apron-in-brown-and-cream-leather/210390287-1-browncream,ASOS
ASOS_210499413,210499413,ASOS DESIGN lace up derby shoes in brown leather,ASOS DESIGN,BROWN,89.99,,,,USD,,False,False,False,False,,,,,,,asos-design/asos-design-lace-up-derby-shoes-in-brown-leather/prd/210499413#colourWayId-210499415,images.asos-media.com/products/asos-design-lace-up-derby-shoes-in-brown-leather/210499413-1-brown,ASOS
ASOS_210575745,210575745,ASOS DESIGN slim loafers with tassel in brown leather weave,ASOS DESIGN,BROWN,94.99,,,,USD,,False,False,False,False,,,,,,,asos-design/asos-design-slim-loafers-with-tassel-in-brown-leather-weave/prd/210575745#colourWayId-210575751,images.asos-media.com/products/asos-design-slim-loafers-with-tassel-in-brown-leather-weave/210575745-1-brown,ASOS
ASOS_211284389,211284389,Keen Jasper brushed suede sneakers in black,Keen,Black,226.0,,,,USD,,False,False,False,False,,,,,,,keen/keen-jasper-brushed-suede-sneakers-in-black/prd/211284389#colourWayId-211284403,images.asos-media.com/products/keen-jasper-brushed-suede-sneakers-in-black/211284389-1-black,ASOS
ASOS_211284470,211284470,Keen Jasper nylon sneakers in olive green,Keen,GREEN,226.0,,,,USD,,False,False,False,False,,,,,,,keen/keen-jasper-nylon-sneakers-in-olive-green/prd/211284470#colourWayId-211284472,images.asos-media.com/products/keen-jasper-nylon-sneakers-in-olive-green/211284470-1-green,ASOS
ASOS_211284487,211284487,Keen Jasper brushed suede sneakers in dark olive,Keen,Dark olive,226.0,,,,USD,,False,False,False,False,,,,,,,keen/keen-jasper-brushed-suede-sneakers-in-dark-olive/prd/211284487#colourWayId-211284488,images.asos-media.com/products/keen-jasper-brushed-suede-sneakers-in-dark-olive/211284487-1-darkolive,ASOS
ASOS_211284590,211284590,Keen Jasper Zionic sneakers in brown and black,Keen,Black,260.0,,,,USD,,False,False,False,False,,,,,,,keen/keen-jasper-zionic-sneakers-in-brown-and-black/prd/211284590#colourWayId-211284592,images.asos-media.com/products/keen-jasper-zionic-sneakers-in-brown-and-black/211284590-1-black,ASOS
ASOS_209614832,209614832,Nike Shox TL sneakers in gray and red,Nike,Gray,180.0,,,,USD,,False,False,False,False,,,,,,,nike/nike-shox-tl-sneakers-in-gray-and-red/prd/209614832#colourWayId-209614850,images.asos-media.com/products/nike-shox-tl-sneakers-in-gray-and-red/209614832-1-grey,ASOS
ASOS_210442463,210442463,adidas Running Hyperboost Edge sneakers in black and white,adidas performance,WHITE,200.0,,,,USD,,False,False,False,False,,,,,,,adidas-performance/adidas-running-hyperboost-edge-sneakers-in-black-and-white/prd/210442463#colourWayId-210442489,images.asos-media.com/products/adidas-running-hyperboost-edge-sneakers-in-black-and-white/210442463-1-white,ASOS
